rank,tier,score,market,code,name,price,min_buy,industry,deepest_layer,roe,gross_margin,net_margin,yoy,cagr,ocf_to_profit,debt_ratio,pe_ttm,peg,eyield,exp_ret,discount,pb,market_cap_yi_usd,fail_reasons
2502,-,26.07,us,SNDK,Sandisk Corporation - Common Stock When-Issued,2172.86,217286,Sandisk Corporation - Common Stock When-Issued,0,,7.1,-35.2,,,0.33,17.9,71.40,,1.40,,0.0,23.36,3217.8,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; 预期年化<10.0%; 未打0.3%折
2503,-,27.12,us,SNDL,SNDL Inc. - Common Shares,1.38,137,SNDL Inc. - Common Shares,1,,,,,,,,-43.38,,,,0.0,0.46,3.6,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
2504,-,27.12,us,SNDX,"Syndax Pharmaceuticals, Inc. - Common Stock",22.05,2205,"Syndax Pharmaceuticals, Inc. - Common Stock",1,,,,,,,,-8.03,,,,0.0,46.94,19.5,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
2505,-,27.12,us,SNES,"SenesTech, Inc. - Common Stock",1.49,149,"SenesTech, Inc. - Common Stock",1,,,,,,,,-1.17,,,,0.0,1.03,0.1,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
2506,-,30.02,us,SNEX,StoneX Group Inc. - Common Stock,119.69,11969,StoneX Group Inc. - Common Stock,1,,,,,,,,20.51,,4.88,,0.0,3.51,94.9,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; 预期年化<10.0%; 未打0.3%折
2507,-,27.12,us,SNGX,"Soligenix, Inc. - Common Stock",0.40,40,"Soligenix, Inc. - Common Stock",1,,,,,,,,-0.54,,,,0.0,1.92,0.1,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
2508,-,27.12,us,SNOA,"Sonoma Pharmaceuticals, Inc. - Common Stock",1.21,121,"Sonoma Pharmaceuticals, Inc. - Common Stock",1,,,,,,,,-1.82,,,,0.0,1.87,0.1,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
2509,-,30.02,us,SNPS,"Synopsys, Inc. - Common Stock",449.20,44920,"Synopsys, Inc. - Common Stock",1,,,,,,,,111.23,,0.90,,0.0,2.82,860.1,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; 预期年化<10.0%; 未打0.3%折
2510,-,30.02,us,SNT,Senstar Technologies Corporation - Common Shares,2.02,202,Senstar Technologies Corporation - Common Shares,1,,,,,,,,34.50,,2.90,,0.0,1.12,0.5,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; 预期年化<10.0%; 未打0.3%折
2511,-,27.12,us,SNTG,Sentage Holdings Inc. - Class A Ordinary Shares,2.04,204,Sentage Holdings Inc. - Class A Ordinary Shares,1,,,,,,,,-2.51,,,,0.0,0.73,0.1,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
2512,-,27.12,us,SNTI,"Senti Biosciences Holdings, Inc. - Common Stock",1.11,111,"Senti Biosciences Holdings, Inc. - Common Stock",1,,,,,,,,-0.56,,,,0.0,13.48,0.3,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
2513,-,30.02,us,SNWV,"SANUWAVE Health, Inc. - Common Stock",9.50,950,"SANUWAVE Health, Inc. - Common Stock",1,,,,,,,,4.95,,20.20,,0.0,44.45,0.8,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
2514,-,30.02,us,SNY,Sanofi - American Depositary Shares,42.47,4246,Sanofi - American Depositary Shares,1,,,,,,,,11.54,,8.67,,0.0,1.24,1035.7,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
2515,-,27.12,us,SNYR,Synergy CHC Corp. - Common Stock,0.20,20,Synergy CHC Corp. - Common Stock,1,,,,,,,,-0.19,,,,0.0,-0.12,0.0,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
2516,-,27.12,us,SOBR,"SOBR Safe, Inc. - Common Stock",0.69,69,"SOBR Safe, Inc. - Common Stock",1,,,,,,,,-0.21,,,,0.0,0.74,0.0,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
2517,-,30.02,us,SOFI,"SoFi Technologies, Inc.  - Common Stock",18.02,1802,"SoFi Technologies, Inc.  - Common Stock",1,,,,,,,,40.08,,2.50,,0.0,2.14,231.2,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; 预期年化<10.0%; 未打0.3%折
2518,-,30.02,us,SOGP,Sound Group Inc. - American Depositary Shares,11.25,1125,Sound Group Inc. - American Depositary Shares,1,,,,,,,,1.46,,68.49,,0.0,0.82,0.5,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
2519,-,30.02,us,SOHU,Sohu.com Limited  - American Depositary Shares,12.50,1250,Sohu.com Limited  - American Depositary Shares,1,,,,,,,,1.57,,63.69,,0.0,0.25,3.3,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
2520,-,30.02,us,SOLS,Solstice Advanced Materials Inc. - Common Stock,87.97,8797,Solstice Advanced Materials Inc. - Common Stock,1,,,,,,,,74.31,,1.35,,0.0,9.40,139.7,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; 预期年化<10.0%; 未打0.3%折
2521,-,27.12,us,SONM,"DNA X, Inc. - Common Stock",5.49,549,"DNA X, Inc. - Common Stock",1,,,,,,,,-0.47,,,,0.0,-83.72,0.1,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
2522,-,30.02,us,SONO,"Sonos, Inc. - Common Stock",13.82,1382,"Sonos, Inc. - Common Stock",1,,,,,,,,69.54,,1.44,,0.0,4.28,16.5,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; 预期年化<10.0%; 未打0.3%折
2523,-,27.12,us,SOPH,SOPHiA GENETICS SA - Ordinary Shares,6.18,618,SOPHiA GENETICS SA - Ordinary Shares,1,,,,,,,,-6.29,,,,0.0,11.13,5.1,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
2524,-,30.02,us,SORA,AsiaStrategy - Ordinary Shares,2.10,210,AsiaStrategy - Ordinary Shares,1,,,,,,,,4.25,,23.53,,0.0,2.40,0.5,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
2525,-,30.02,us,SOTK,Sono-Tek Corporation - Common Stock,5.60,559,Sono-Tek Corporation - Common Stock,1,,,,,,,,48.70,,2.05,,0.0,4.45,0.9,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; 预期年化<10.0%; 未打0.3%折
2526,-,27.12,us,SOUN,"SoundHound AI, Inc. - Class A Common Stock",6.46,646,"SoundHound AI, Inc. - Class A Common Stock",1,,,,,,,,-16.56,,,,0.0,6.07,28.0,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
2527,-,27.12,us,SOWG,Sow Good Inc. - Common Stock,3.82,382,Sow Good Inc. - Common Stock,1,,,,,,,,-1.90,,,,0.0,-52.98,0.8,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
2528,-,27.12,us,SPAI,Safe Pro Group Inc. - Common Stock,4.35,434,Safe Pro Group Inc. - Common Stock,1,,,,,,,,-6.82,,,,0.0,5.82,0.9,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
2529,-,30.02,us,SPCB,"SuperCom, Ltd. - Ordinary Shares",11.36,1136,"SuperCom, Ltd. - Ordinary Shares",1,,,,,,,,74.06,,1.35,,0.0,1.38,0.6,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; 预期年化<10.0%; 未打0.3%折
2530,-,27.12,us,SPHL,Springview Holdings Ltd - Ordinary shares,2.65,265,Springview Holdings Ltd - Ordinary shares,1,,,,,,,,-17.78,,,,0.0,6.06,0.3,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
2531,-,30.02,us,SPOK,"Spok Holdings, Inc. - Common Stock",10.32,1032,"Spok Holdings, Inc. - Common Stock",1,,,,,,,,17.01,,5.88,,0.0,1.53,2.2,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
2532,-,27.12,us,SPPL,SIMPPLE LTD. - Ordinary Shares,3.91,391,SIMPPLE LTD. - Ordinary Shares,1,,,,,,,,-11.77,,,,0.0,14.35,0.4,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
2533,-,27.12,us,SPRB,"Spruce Biosciences, Inc. - Common Stock",55.65,5565,"Spruce Biosciences, Inc. - Common Stock",1,,,,,,,,-4.12,,,,0.0,4.42,1.5,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
2534,-,27.12,us,SPRC,SciSparc Ltd. - Ordinary Shares,5.41,540,SciSparc Ltd. - Ordinary Shares,1,,,,,,,,-0.25,,,,0.0,0.73,0.0,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
2535,-,30.02,us,SPRO,"Spero Therapeutics, Inc. - Common Stock",2.25,225,"Spero Therapeutics, Inc. - Common Stock",1,,,,,,,,8.55,,11.70,,0.0,2.46,1.3,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
