rank,tier,score,code,name,price,min_buy,industry,deepest_layer,roe,gross_margin,net_margin,yoy,cagr,deduct_ratio,ocf_to_profit,debt_ratio,goodwill_ratio,pe_ttm,peg,eyield,exp_ret,discount,pb,mktcap_yi,risk_notes,fail_reasons
4855,-,8.5,002045,国光电器,7.85,785,消费电子,0,-2.6,12.3,-1.4,-144.6,,,,59.4,0.0,-25.82,,,,0.0,1.04,44.2,,亏损; 现金流/利润<0.8; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
4856,-,8.5,002037,保利联合,6.24,624,化学制品,0,-55.9,16.9,-12.7,-2331.7,,,,88.1,0.1,-3.46,,,,0.0,2.94,30.2,,亏损; 现金流/利润<0.8; 负债率≥70.0%; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
4857,-,8.5,002036,联创电子,7.57,757,光学光电子,0,-65.1,10.7,-12.2,-82.9,,,,90.7,0.0,-7.20,,,,0.0,8.29,80.1,,亏损; 现金流/利润<0.8; 负债率≥70.0%; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
4858,-,8.5,002031,巨轮智能,5.58,558,专用设备,0,-11.1,10.4,-29.5,-11.3,,,,48.4,0.0,-51.69,,,,0.0,6.32,122.7,,亏损; 现金流/利润<0.8; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
4859,-,8.5,002021,中捷资源,2.52,252,专用设备,0,-0.6,17.4,-0.4,-120.7,,,,32.5,0.0,-142.63,,,,0.0,4.92,30.1,,亏损; 现金流/利润<0.8; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
4860,-,8.5,001373,翔腾新材,30.15,3015,光学光电子,0,-4.0,8.9,-6.1,-382.5,,,,12.8,0.0,-49.42,,,,0.0,2.45,20.7,,亏损; 现金流/利润<0.8; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
4861,-,8.5,001330,博纳影业,5.62,562,影视院线,0,-32.1,-46.7,-116.9,-68.9,,,,66.0,0.0,-13.95,,,,0.0,2.03,77.2,,亏损; 现金流/利润<0.8; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
4862,-,8.5,001317,三羊马,39.58,3958,铁路公路,0,-1.0,7.7,-0.7,-199.3,,,,43.5,0.0,-471.85,,,,0.0,3.34,33.9,,亏损; 现金流/利润<0.8; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
4863,-,8.5,001306,夏厦精密,54.57,5457,通用设备,0,-1.3,15.0,-2.2,-127.0,,,,43.7,0.0,-66.41,,,,0.0,2.67,34.3,,亏损; 现金流/利润<0.8; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
4864,-,8.5,001300,三柏硕,11.30,1130,文娱用品,0,-6.9,16.0,-15.2,-412.1,,,,23.8,0.0,-33.41,,,,0.0,2.86,27.5,,亏损; 现金流/利润<0.8; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
4865,-,8.5,001278,一彬科技,15.38,1538,汽车零部件,0,-5.8,13.7,-3.4,-342.6,,,,68.1,0.0,-17.37,,,,0.0,1.61,19.0,,亏损; 现金流/利润<0.8; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
4866,-,8.5,001217,华尔泰,8.43,843,化学原料,0,-1.3,6.8,-1.4,-133.6,,,,35.6,0.0,-45.81,,,,0.0,1.30,28.0,,亏损; 现金流/利润<0.8; ROE<15.0; 毛利<30.0; 净利率<10.0; 同比增速<10.0; CAGR<10.0; PEG≥1.0; 盈利收益率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.7折
