rank,status,basic_status,enhanced_status,final_action,code,name,stock_code,stock_name,price,premium_rt,double_low,rating,remaining_scale,remaining_years,change_pct,maturity_date,convert_price,convert_value,stock_price,pb,turnover,risk_reasons,enhanced_reasons,maturity_redeem_price,maturity_yield_est,call_gap_pct,put_gap_pct,down_revision_gap_pct,has_conditional_resale,source
607,剔除,剔除,增强排除,排除,115003,中兴债1,000063,中兴通讯,,,,AAA,40.0,-13.415,,2013-01-30 00:00:00,,,37.18,2.32,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,,,,,,False,eastmoney_datacenter+quote_board
608,剔除,剔除,增强排除,排除,118000,嘉元转债,688388,嘉元科技,,,,A+,12.4,-0.246,,2026-04-02 00:00:00,,,41.84,3.42,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余期限<0.5年,115.0,,,,,True,eastmoney_datacenter+quote_board
609,剔除,剔除,增强排除,排除,118001,金博转债,688598,金博股份,,,,A+,5.99901,-3.762,,2022-09-26 00:00:00,,,50.08,2.69,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余期限<0.5年,115.0,,,,,True,eastmoney_datacenter+quote_board
610,剔除,剔除,增强排除,排除,118002,天合转债,688599,天合光能,,,,AA,52.52,-4.216,,2022-04-13 00:00:00,,,14.66,1.68,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,115.0,,,,,True,eastmoney_datacenter+quote_board
611,剔除,剔除,增强排除,排除,118003,华兴转债,688001,华兴源创,,,,AA,8.0,-0.118,,2026-05-19 00:00:00,,,79.2,9.1,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,110.0,,,,,True,eastmoney_datacenter+quote_board
612,剔除,剔除,增强排除,排除,118004,博瑞转债,688166,博瑞医药,,,,AA-,4.65,-0.11,,2026-05-22 00:00:00,,,32.95,4.95,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；剩余期限<0.5年,115.0,,,,,True,eastmoney_datacenter+quote_board
613,剔除,剔除,增强排除,排除,118006,阿拉转债,688179,阿拉丁,,,,A+,3.874,-0.153,,2026-05-06 00:00:00,,,30.21,8.47,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余期限<0.5年,115.0,,,,,True,eastmoney_datacenter+quote_board
614,剔除,剔除,增强排除,排除,118008,海优转债,688680,海优新材,,,,A,6.94,-0.233,,2026-04-07 00:00:00,,,42.74,2.56,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余期限<0.5年,115.0,,,,,True,eastmoney_datacenter+quote_board
615,剔除,剔除,增强排除,排除,118009,华锐转债,688059,华锐精密,,,,A+,4.0,-0.405,,2026-02-03 00:00:00,,,215.0,9.9,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余期限<0.5年,113.0,,,,,True,eastmoney_datacenter+quote_board
616,剔除,剔除,增强排除,排除,118014,高测转债,688556,高测股份,,,,A+,4.833,-0.808,,2025-09-09 00:00:00,,,13.15,2.81,,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余期限<0.5年,不在实时转债行情板块/可能未正常交易；无有效现价；无转股溢价率；已退市/摘牌；评级低于AA-；剩余期限<0.5年,110.0,,,,,True,eastmoney_datacenter+quote_board
